pecha id,language,url
IEC58D135,en,https://github.com/OpenPecha/IEC58D135
I31D0B754,de,https://github.com/OpenPecha/I31D0B754
IEF285E24,es,https://github.com/OpenPecha/IEF285E24
I2105CA5C,fr,https://github.com/OpenPecha/I2105CA5C
IB5AB6374,it,https://github.com/OpenPecha/IB5AB6374
I20992B8A,nl,https://github.com/OpenPecha/I20992B8A
I22329952,pt,https://github.com/OpenPecha/I22329952
I5B02E27A,zh,https://github.com/OpenPecha/I5B02E27A
I1C9BBEC9,bo,https://github.com/OpenPecha/I1C9BBEC9
